Age,Weight,Breed,Gender,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease
6.0,5.7,Persian,Female,painful urination,pale gums,sunken eyes,none,5,no,no,no,no,no,no,no,no,yes,38.2,169,anemia
10.0,2.6,Siamese,Female,bloated abdomen,fever,nasal discharge,weight loss,14,no,no,no,no,no,no,no,yes,no,39.5,194,upper respiratory infection
4.0,2.9,Siamese,Male,itching,weakness,weight loss,none,3,no,no,no,no,no,no,yes,no,no,38.5,188,anemia
15.0,3.0,Persian,Male,blood in urine,lethargy,sneezing,none,3,no,no,no,yes,no,no,no,no,no,38.2,174,dehydration
8.0,4.0,Siamese,Male,blood in urine,lethargy,loss of appetite,painful urination,1,yes,no,no,no,no,no,no,no,no,38.5,163,anemia
11.0,5.1,Indian Domestic,Male,eye discharge,increased thirst,lethargy,loss of appetite,2,yes,yes,no,no,no,no,no,no,yes,38.6,187,chronic kidney disease
9.0,2.7,Persian,Male,dry gums,lethargy,squinting,sunken eyes,5,no,no,no,no,no,no,no,no,yes,38.2,168,dehydration
1.0,6.9,Indian Domestic,Female,bloated abdomen,weight loss,none,none,2,no,no,no,no,no,no,no,no,no,38.6,208,worm infestation
11.0,3.8,Persian,Female,bloated abdomen,diarrhea,fever,lethargy,1,no,no,yes,yes,no,no,no,yes,no,39.5,218,anemia
7.0,6.7,Bengal,Female,lethargy,none,none,none,3,no,no,no,no,no,no,no,no,no,38.3,188,gastritis
2.0,6.6,Maine Coon,Male,eye discharge,increased thirst,lethargy,nasal discharge,5,no,no,no,yes,no,no,no,yes,yes,38.8,193,chronic kidney disease
15.0,5.5,Siamese,Male,red eyes,squinting,none,none,5,no,no,no,no,no,no,no,no,yes,38.7,163,feline conjunctivitis
5.0,4.1,Indian Domestic,Male,red skin,vomiting,none,none,5,no,yes,no,no,no,no,no,no,no,38.9,178,gastritis
4.0,5.7,Siamese,Male,bloated abdomen,hair loss,itching,red skin,3,no,no,no,no,no,no,yes,no,no,38.6,181,skin allergy
12.0,4.5,Bengal,Male,fever,lethargy,nasal discharge,red eyes,4,no,no,no,yes,no,no,no,yes,yes,39.5,184,feline conjunctivitis
3.0,6.9,Persian,Male,lethargy,none,none,none,2,no,no,no,no,no,no,no,no,no,38.2,191,anemia
6.0,5.0,Siamese,Male,dry gums,increased thirst,sunken eyes,weight loss,4,no,no,no,no,no,no,no,no,yes,38.3,179,chronic kidney disease
2.0,4.6,Indian Domestic,Female,increased thirst,lethargy,pale gums,weakness,3,no,no,no,no,no,no,no,no,no,38.2,219,anemia
14.0,5.3,Siamese,Male,eye discharge,red eyes,squinting,none,10,no,no,no,no,no,no,no,no,yes,38.7,186,feline conjunctivitis
8.0,4.1,Siamese,Female,lethargy,weakness,none,none,2,no,no,no,no,no,no,no,no,no,38.3,161,anemia
4.0,3.6,Bengal,Female,fever,lethargy,loss of appetite,vomiting,2,yes,yes,no,no,no,no,no,no,no,39.5,215,feline panleukopenia
13.0,3.9,Bengal,Female,lethargy,sunken eyes,none,none,4,no,no,no,no,no,no,no,no,yes,38.6,189,dehydration
14.0,5.9,Persian,Female,eye discharge,fever,nasal discharge,red eyes,3,no,no,no,yes,no,no,no,yes,yes,39.5,200,feline conjunctivitis
1.0,5.5,Persian,Female,dry gums,lethargy,sunken eyes,none,14,no,no,no,no,no,no,no,no,yes,38.0,209,dehydration
4.0,6.0,Maine Coon,Male,eye discharge,red eyes,red skin,squinting,3,no,no,no,no,no,no,no,no,yes,39.1,194,feline conjunctivitis
9.0,5.6,Persian,Female,eye discharge,lethargy,red eyes,squinting,7,no,no,no,no,no,no,no,no,yes,38.0,183,chronic kidney disease
4.0,5.6,Siamese,Male,red eyes,red skin,squinting,none,7,no,no,no,no,no,no,no,no,yes,38.3,168,feline conjunctivitis
12.0,6.7,Siamese,Female,bloated abdomen,diarrhea,none,none,3,no,no,yes,no,no,no,no,no,no,38.9,165,worm infestation
7.0,6.0,Maine Coon,Male,bloated abdomen,diarrhea,hair loss,itching,4,no,no,yes,no,no,no,yes,no,no,38.7,196,skin allergy
4.0,4.2,Maine Coon,Female,fever,nasal discharge,sneezing,none,2,no,no,no,yes,no,no,no,yes,no,39.5,208,upper respiratory infection
14.0,4.4,Maine Coon,Male,increased thirst,lethargy,loss of appetite,vomiting,2,yes,yes,no,no,no,no,no,no,no,38.5,169,chronic kidney disease
15.0,5.4,Maine Coon,Female,bloated abdomen,blood in urine,diarrhea,eye discharge,5,no,no,yes,no,no,no,no,no,yes,38.9,177,feline conjunctivitis
15.0,3.4,Indian Domestic,Female,blood in urine,increased thirst,lethargy,nasal discharge,3,no,no,no,yes,no,no,no,yes,no,38.8,166,chronic kidney disease
14.0,2.6,Maine Coon,Male,eye discharge,fever,lethargy,loss of appetite,2,yes,yes,no,no,no,no,no,no,yes,39.5,223,feline conjunctivitis
2.0,4.8,Siamese,Female,dry gums,eye discharge,red eyes,sunken eyes,4,no,no,no,no,no,no,no,no,yes,38.0,193,dehydration
11.0,6.3,Maine Coon,Female,diarrhea,fever,lethargy,vomiting,4,no,yes,yes,no,no,no,no,no,no,39.5,204,feline panleukopenia
13.0,2.7,Siamese,Male,hair loss,increased thirst,itching,lethargy,3,yes,no,no,no,no,no,yes,no,no,38.5,173,chronic kidney disease
5.0,6.7,Maine Coon,Male,eye discharge,lethargy,loss of appetite,red skin,5,yes,no,no,no,no,no,no,no,yes,38.1,177,feline conjunctivitis
5.0,3.0,Siamese,Female,diarrhea,increased thirst,weight loss,none,2,no,no,yes,no,no,no,no,no,no,39.0,166,chronic kidney disease
10.0,5.2,Maine Coon,Female,diarrhea,eye discharge,lethargy,red eyes,2,no,yes,yes,no,no,no,no,no,yes,38.8,161,feline conjunctivitis
15.0,2.9,Siamese,Male,dry gums,eye discharge,fever,lethargy,4,no,no,no,no,no,no,no,no,yes,39.5,215,dehydration
3.0,6.6,Persian,Female,blood in urine,diarrhea,fever,frequent urination,5,no,yes,yes,no,no,no,no,no,no,39.5,223,feline panleukopenia
12.0,3.4,Maine Coon,Male,vomiting,none,none,none,5,no,yes,no,no,no,no,no,no,no,38.4,170,gastritis
10.0,4.9,Siamese,Male,diarrhea,fever,lethargy,vomiting,1,no,yes,yes,no,no,no,no,no,no,39.5,219,feline panleukopenia
4.0,2.6,Maine Coon,Male,diarrhea,fever,lethargy,red skin,1,no,yes,yes,yes,no,no,no,no,no,39.5,193,feline panleukopenia
5.0,5.0,Persian,Male,red eyes,red skin,weight loss,none,7,no,no,no,no,no,no,no,no,yes,38.4,172,feline conjunctivitis
8.0,6.1,Persian,Female,lethargy,pale gums,weakness,none,3,no,no,no,no,no,no,no,no,no,38.8,178,anemia
8.0,3.3,Siamese,Female,vomiting,none,none,none,3,no,yes,no,no,no,no,no,no,no,38.6,179,gastritis
6.0,6.2,Maine Coon,Female,dry gums,lethargy,pale gums,sunken eyes,4,no,no,no,no,no,no,no,no,yes,38.8,168,anemia
13.0,5.4,Bengal,Female,itching,lethargy,loss of appetite,pale gums,4,yes,yes,no,no,no,no,yes,no,no,38.2,198,anemia
3.0,3.7,Persian,Male,itching,loss of appetite,red skin,vomiting,1,yes,yes,no,no,no,no,yes,no,no,38.3,194,gastritis
13.0,3.3,Bengal,Female,red eyes,none,none,none,2,no,no,no,no,no,no,no,no,yes,39.1,187,feline conjunctivitis
9.0,4.0,Maine Coon,Male,itching,lethargy,loss of appetite,none,5,yes,no,no,no,no,no,yes,no,no,38.5,179,gastritis
8.0,4.8,Persian,Female,hair loss,itching,red skin,none,3,no,no,no,no,no,no,yes,no,no,38.6,194,skin allergy
4.0,5.5,Siamese,Female,bloated abdomen,diarrhea,increased thirst,weight loss,3,no,no,yes,no,no,no,no,no,no,38.8,168,chronic kidney disease
9.0,7.0,Bengal,Male,diarrhea,lethargy,loss of appetite,pale gums,4,yes,yes,yes,no,no,no,no,no,no,38.9,175,anemia
3.0,6.4,Persian,Male,increased thirst,lethargy,loss of appetite,vomiting,4,yes,yes,no,no,no,no,no,no,no,38.6,199,anemia
9.0,2.6,Maine Coon,Male,hair loss,itching,red skin,vomiting,1,no,yes,no,no,no,no,yes,no,no,38.3,199,gastritis
9.0,4.8,Bengal,Female,red eyes,squinting,none,none,3,no,no,no,no,no,no,no,no,yes,38.6,182,feline conjunctivitis
12.0,4.6,Indian Domestic,Male,diarrhea,fever,vomiting,none,4,no,yes,yes,no,no,no,no,no,no,39.5,223,feline panleukopenia
6.0,3.7,Maine Coon,Male,blood in urine,dry gums,frequent urination,painful urination,2,no,no,no,no,no,no,no,no,no,38.6,186,dehydration
10.0,5.2,Maine Coon,Female,eye discharge,lethargy,loss of appetite,squinting,5,yes,yes,no,no,no,no,no,no,yes,38.7,177,chronic kidney disease
12.0,4.4,Siamese,Male,red eyes,none,none,none,5,no,no,no,no,no,no,no,no,yes,38.7,164,feline conjunctivitis
13.0,4.6,Maine Coon,Female,fever,hair loss,itching,lethargy,3,no,yes,no,no,no,no,yes,no,yes,39.5,186,dehydration
9.0,3.0,Maine Coon,Female,bloated abdomen,diarrhea,pale gums,weakness,2,no,no,yes,no,no,no,no,no,no,39.0,175,anemia
11.0,5.4,Indian Domestic,Female,blood in urine,frequent urination,painful urination,pale gums,3,no,no,no,no,no,no,no,no,no,38.2,169,anemia
12.0,6.8,Persian,Male,diarrhea,itching,vomiting,none,2,no,yes,yes,no,no,no,yes,no,no,39.0,184,feline panleukopenia
11.0,6.2,Maine Coon,Female,fever,lethargy,sneezing,sunken eyes,3,no,no,no,yes,no,no,no,no,yes,39.5,212,dehydration
10.0,4.5,Persian,Male,lethargy,loss of appetite,none,none,3,yes,no,no,no,no,no,no,no,no,38.8,179,gastritis
5.0,6.6,Indian Domestic,Female,blood in urine,diarrhea,lethargy,painful urination,1,no,yes,yes,no,no,no,no,no,no,38.2,175,anemia
15.0,5.2,Indian Domestic,Female,diarrhea,dry gums,fever,hair loss,3,no,yes,yes,no,no,no,yes,no,no,39.5,213,dehydration
15.0,5.7,Bengal,Female,fever,increased thirst,lethargy,nasal discharge,4,no,no,no,yes,no,no,no,yes,no,39.5,226,chronic kidney disease
4.0,3.5,Bengal,Female,dry gums,eye discharge,lethargy,red skin,10,no,no,no,no,no,no,no,no,yes,38.0,160,dehydration
6.0,4.9,Indian Domestic,Male,bloated abdomen,weight loss,none,none,2,no,no,no,no,no,no,no,no,no,38.4,197,worm infestation
7.0,6.6,Maine Coon,Male,diarrhea,lethargy,red skin,vomiting,1,no,yes,yes,no,no,no,no,no,no,38.6,197,gastritis
7.0,4.4,Persian,Male,bloated abdomen,diarrhea,increased thirst,lethargy,2,no,no,yes,no,no,no,no,no,no,38.5,170,anemia
4.0,6.5,Indian Domestic,Female,fever,hair loss,itching,lethargy,2,yes,yes,no,yes,no,no,yes,yes,no,39.5,208,gastritis
8.0,3.3,Siamese,Male,fever,loss of appetite,nasal discharge,sneezing,3,yes,no,no,yes,no,no,no,yes,no,39.5,204,gastritis
8.0,6.6,Maine Coon,Male,eye discharge,lethargy,loss of appetite,red eyes,4,yes,yes,no,no,no,no,no,no,yes,38.2,170,feline conjunctivitis
8.0,5.1,Persian,Male,blood in urine,diarrhea,fever,frequent urination,3,no,yes,yes,no,no,no,no,no,yes,39.5,187,dehydration
1.0,4.4,Bengal,Female,bloated abdomen,diarrhea,fever,increased thirst,4,no,no,yes,yes,no,no,no,no,no,39.5,217,chronic kidney disease
3.0,3.8,Indian Domestic,Male,dry gums,lethargy,sunken eyes,weakness,4,no,no,no,no,no,no,no,no,yes,38.5,170,anemia
5.0,5.2,Siamese,Male,fever,nasal discharge,sneezing,none,10,no,no,no,yes,no,no,no,yes,no,39.5,215,upper respiratory infection
8.0,6.7,Persian,Female,increased thirst,vomiting,weight loss,none,3,no,yes,no,no,no,no,no,no,no,38.2,161,chronic kidney disease
13.0,2.6,Bengal,Male,diarrhea,none,none,none,3,no,no,yes,no,no,no,no,no,no,38.5,192,worm infestation
9.0,6.3,Indian Domestic,Male,weight loss,none,none,none,5,no,no,no,no,no,no,no,no,no,38.7,169,worm infestation
1.0,5.3,Bengal,Male,increased thirst,lethargy,vomiting,weight loss,2,no,yes,no,no,no,no,no,no,no,38.1,213,chronic kidney disease
3.0,5.2,Indian Domestic,Female,fever,increased thirst,lethargy,nasal discharge,7,no,no,no,yes,no,no,no,yes,no,39.5,198,chronic kidney disease
14.0,4.6,Siamese,Female,vomiting,none,none,none,4,no,yes,no,no,no,no,no,no,no,39.0,170,feline panleukopenia
6.0,7.0,Siamese,Male,dry gums,red skin,sunken eyes,none,5,no,no,no,no,no,no,no,no,yes,39.0,163,dehydration
10.0,6.0,Indian Domestic,Male,increased thirst,lethargy,weight loss,none,3,no,no,no,no,no,no,no,no,no,38.3,178,chronic kidney disease
6.0,3.8,Persian,Female,diarrhea,weight loss,none,none,3,no,no,yes,no,no,no,no,no,no,38.7,194,worm infestation
4.0,5.3,Bengal,Male,increased thirst,lethargy,weakness,weight loss,2,no,no,no,no,no,no,no,no,no,38.3,163,anemia
7.0,6.5,Maine Coon,Female,diarrhea,dry gums,fever,lethargy,1,no,no,yes,yes,no,no,no,yes,no,39.5,217,dehydration
2.0,6.2,Persian,Male,fever,hair loss,itching,nasal discharge,3,no,no,no,yes,no,no,yes,yes,no,39.5,216,skin allergy
15.0,6.1,Siamese,Female,blood in urine,frequent urination,painful urination,none,3,no,no,no,no,no,no,no,no,no,38.6,165,urinary tract infection
13.0,5.3,Bengal,Male,blood in urine,fever,frequent urination,painful urination,4,no,no,no,yes,no,no,no,no,no,39.5,204,upper respiratory infection
3.0,5.8,Maine Coon,Female,lethargy,pale gums,weakness,none,4,no,no,no,no,no,no,no,no,no,38.5,187,anemia
3.0,3.8,Bengal,Male,dry gums,fever,nasal discharge,sneezing,14,no,yes,no,yes,no,no,no,yes,no,39.5,187,dehydration
15.0,5.1,Maine Coon,Female,blood in urine,fever,loss of appetite,none,4,yes,no,no,no,no,no,no,no,no,39.5,208,feline panleukopenia
12.0,3.3,Indian Domestic,Female,fever,lethargy,nasal discharge,sneezing,1,no,no,no,yes,no,no,no,yes,no,39.5,200,chronic kidney disease
9.0,3.7,Indian Domestic,Male,blood in urine,frequent urination,none,none,2,no,no,no,no,no,no,no,no,no,38.2,174,urinary tract infection
3.0,6.1,Siamese,Male,hair loss,itching,red skin,squinting,1,no,no,no,no,no,no,yes,no,no,38.3,180,feline conjunctivitis
1.0,5.1,Siamese,Female,blood in urine,frequent urination,painful urination,none,1,no,no,no,no,no,no,no,no,no,38.3,201,urinary tract infection
5.0,3.7,Bengal,Male,dry gums,fever,lethargy,red skin,5,no,no,no,no,no,no,no,no,yes,39.5,216,dehydration
5.0,3.3,Indian Domestic,Female,bloated abdomen,dry gums,nasal discharge,sneezing,2,no,no,no,yes,no,no,no,yes,no,38.7,173,dehydration
6.0,2.8,Bengal,Female,hair loss,increased thirst,itching,lethargy,4,no,no,no,no,no,no,yes,no,no,39.0,178,anemia
8.0,5.8,Persian,Female,lethargy,pale gums,weakness,none,1,no,no,no,no,no,no,no,no,no,38.6,182,anemia
1.0,5.9,Bengal,Female,increased thirst,itching,red skin,none,10,no,no,no,no,no,no,yes,no,no,38.7,188,chronic kidney disease
9.0,6.0,Persian,Female,eye discharge,red eyes,squinting,weight loss,3,no,no,no,no,no,no,no,no,yes,38.2,163,feline conjunctivitis
11.0,6.3,Indian Domestic,Female,diarrhea,fever,lethargy,vomiting,3,no,yes,yes,no,no,no,no,no,no,39.5,216,feline panleukopenia
2.0,4.9,Siamese,Male,hair loss,increased thirst,itching,lethargy,4,no,no,no,no,no,no,yes,no,no,38.3,186,anemia
1.0,6.5,Maine Coon,Male,loss of appetite,none,none,none,14,yes,no,no,no,no,no,no,no,no,38.1,217,gastritis
3.0,6.4,Indian Domestic,Female,dry gums,lethargy,pale gums,weakness,3,no,no,no,no,no,no,no,no,no,38.5,184,anemia
10.0,5.8,Siamese,Female,bloated abdomen,itching,lethargy,red skin,1,no,no,no,no,no,no,yes,no,no,38.9,190,anemia
4.0,5.9,Persian,Male,bloated abdomen,lethargy,weakness,none,1,no,no,no,no,no,no,no,no,no,38.7,188,anemia
1.0,4.1,Indian Domestic,Male,bloated abdomen,diarrhea,lethargy,sunken eyes,1,no,no,yes,no,no,no,no,no,yes,38.7,192,anemia
13.0,6.2,Siamese,Male,bloated abdomen,diarrhea,fever,lethargy,2,no,no,yes,yes,no,no,no,yes,no,39.5,195,gastritis
9.0,6.4,Persian,Female,weight loss,none,none,none,7,no,no,no,no,no,no,no,no,no,37.9,175,worm infestation
1.0,4.3,Bengal,Male,weakness,none,none,none,3,no,no,no,no,no,no,no,no,no,38.7,204,anemia
14.0,3.6,Bengal,Female,hair loss,increased thirst,itching,lethargy,3,no,no,no,no,no,no,yes,no,yes,38.5,199,chronic kidney disease
7.0,3.7,Siamese,Male,blood in urine,fever,lethargy,loss of appetite,5,yes,yes,no,yes,no,no,no,yes,no,39.5,206,gastritis
7.0,5.8,Persian,Male,blood in urine,dry gums,lethargy,painful urination,1,no,no,no,no,no,no,no,no,yes,38.8,192,dehydration
14.0,6.7,Bengal,Male,lethargy,none,none,none,2,no,no,no,no,no,no,no,no,no,38.7,172,chronic kidney disease
8.0,6.3,Maine Coon,Female,bloated abdomen,diarrhea,weight loss,none,1,no,no,yes,no,no,no,no,no,no,38.7,176,worm infestation
5.0,4.5,Bengal,Female,hair loss,none,none,none,2,no,no,no,no,no,no,yes,no,no,38.2,199,skin allergy
12.0,5.8,Persian,Female,diarrhea,none,none,none,3,no,no,yes,no,no,no,no,no,no,38.9,192,worm infestation
15.0,6.0,Indian Domestic,Female,weakness,none,none,none,1,no,no,no,no,no,no,no,no,no,39.2,190,anemia
2.0,6.0,Siamese,Female,blood in urine,frequent urination,lethargy,painful urination,2,no,no,no,no,no,no,no,no,no,38.4,200,anemia
6.0,5.5,Maine Coon,Female,dry gums,fever,nasal discharge,red eyes,2,no,no,no,yes,no,no,no,yes,yes,39.5,192,dehydration
4.0,3.2,Indian Domestic,Male,bloated abdomen,lethargy,loss of appetite,vomiting,1,yes,yes,no,no,no,no,no,no,no,38.5,198,anemia
11.0,3.8,Siamese,Male,dry gums,lethargy,sunken eyes,none,3,no,no,no,no,no,no,no,no,yes,38.7,172,dehydration
4.0,6.8,Indian Domestic,Female,lethargy,nasal discharge,pale gums,weakness,3,no,no,no,no,no,no,no,yes,no,38.2,185,anemia
1.0,2.6,Bengal,Female,bloated abdomen,diarrhea,weight loss,none,2,no,no,yes,no,no,no,no,no,no,38.5,204,worm infestation
3.0,5.2,Siamese,Male,increased thirst,none,none,none,4,no,no,no,no,no,no,no,no,no,38.4,162,chronic kidney disease
7.0,5.0,Persian,Male,dry gums,eye discharge,hair loss,itching,14,no,no,no,no,no,no,yes,no,yes,38.9,162,dehydration
7.0,4.1,Bengal,Male,dry gums,lethargy,red eyes,squinting,4,no,no,no,no,no,no,no,no,yes,38.3,187,anemia
9.0,6.6,Indian Domestic,Male,diarrhea,eye discharge,fever,lethargy,1,no,yes,yes,no,no,no,no,yes,yes,39.5,219,feline conjunctivitis
15.0,3.5,Bengal,Female,eye discharge,red eyes,squinting,none,5,no,no,no,no,no,no,no,no,yes,38.4,184,feline conjunctivitis
9.0,3.1,Siamese,Female,bloated abdomen,diarrhea,none,none,2,no,no,yes,no,no,no,no,no,no,38.6,177,worm infestation
12.0,5.8,Maine Coon,Male,diarrhea,eye discharge,fever,lethargy,1,no,yes,yes,no,no,no,no,yes,yes,39.5,223,feline conjunctivitis
14.0,3.7,Persian,Male,increased thirst,lethargy,weight loss,none,2,no,no,no,no,no,no,no,no,no,39.2,174,chronic kidney disease
6.0,5.8,Persian,Male,dry gums,loss of appetite,squinting,sunken eyes,3,yes,no,no,no,no,no,no,no,yes,38.7,190,dehydration
8.0,5.7,Bengal,Female,diarrhea,none,none,none,1,no,no,yes,no,no,no,no,no,no,38.7,176,feline panleukopenia
5.0,6.1,Siamese,Female,dry gums,fever,nasal discharge,sneezing,3,no,no,no,yes,no,no,no,yes,yes,39.5,185,anemia
1.0,6.1,Siamese,Male,lethargy,painful urination,vomiting,none,4,no,yes,no,no,no,no,no,no,no,38.5,188,gastritis
14.0,5.2,Siamese,Male,diarrhea,hair loss,itching,lethargy,1,no,yes,yes,no,no,no,yes,no,no,38.2,169,feline panleukopenia
5.0,3.6,Maine Coon,Male,lethargy,sneezing,weight loss,none,10,no,no,no,yes,no,no,no,no,no,38.2,181,chronic kidney disease
5.0,2.6,Bengal,Male,bloated abdomen,diarrhea,dry gums,frequent urination,3,no,no,yes,no,no,no,no,no,yes,38.5,193,dehydration
8.0,6.9,Maine Coon,Male,red skin,vomiting,none,none,1,no,yes,no,no,no,no,no,no,no,38.1,172,gastritis
2.0,6.6,Bengal,Male,bloated abdomen,diarrhea,squinting,none,4,no,no,yes,no,no,no,no,no,no,38.5,199,feline conjunctivitis
8.0,5.6,Siamese,Female,increased thirst,lethargy,pale gums,weakness,2,no,no,no,no,no,no,no,no,no,38.2,191,anemia
5.0,6.2,Siamese,Female,fever,lethargy,loss of appetite,nasal discharge,5,yes,yes,no,yes,no,no,no,yes,yes,39.5,233,dehydration
5.0,4.5,Persian,Male,weight loss,none,none,none,2,no,no,no,no,no,no,no,no,no,37.8,187,worm infestation
1.0,3.2,Maine Coon,Male,fever,none,none,none,3,no,no,no,no,no,no,no,no,no,39.5,226,feline panleukopenia
7.0,4.8,Indian Domestic,Female,lethargy,sunken eyes,none,none,1,no,no,no,no,no,no,no,no,yes,38.5,185,dehydration
13.0,4.3,Persian,Female,red eyes,none,none,none,4,no,no,no,no,no,no,no,no,yes,38.8,195,feline conjunctivitis
4.0,4.8,Indian Domestic,Female,dry gums,fever,frequent urination,lethargy,3,no,no,no,yes,no,no,no,yes,no,39.5,205,dehydration
3.0,3.1,Siamese,Female,fever,lethargy,pale gums,sneezing,3,no,no,no,yes,no,no,no,no,no,39.5,200,anemia
4.0,5.2,Persian,Male,lethargy,none,none,none,3,no,no,no,no,no,no,no,no,no,38.4,163,chronic kidney disease
10.0,6.8,Maine Coon,Female,lethargy,none,none,none,4,no,no,no,no,no,no,no,no,no,38.5,162,chronic kidney disease
8.0,3.5,Siamese,Female,blood in urine,frequent urination,increased thirst,lethargy,1,no,no,no,no,no,no,no,no,no,38.3,171,chronic kidney disease
9.0,4.9,Maine Coon,Male,diarrhea,lethargy,none,none,2,no,no,yes,no,no,no,no,no,no,38.9,190,dehydration
5.0,4.0,Bengal,Male,bloated abdomen,diarrhea,fever,lethargy,4,no,yes,yes,no,no,no,no,no,no,39.5,190,feline panleukopenia
4.0,7.0,Indian Domestic,Female,dry gums,hair loss,itching,red skin,1,no,no,no,no,no,no,yes,no,yes,38.9,170,dehydration
6.0,6.4,Bengal,Female,lethargy,loss of appetite,red eyes,squinting,1,yes,yes,no,no,no,no,no,no,yes,38.7,163,anemia
11.0,4.4,Indian Domestic,Male,eye discharge,squinting,none,none,10,no,no,no,no,no,no,no,no,yes,38.8,184,feline conjunctivitis
13.0,4.7,Maine Coon,Female,blood in urine,frequent urination,painful urination,weight loss,2,no,no,no,no,no,no,no,no,no,38.3,168,chronic kidney disease
8.0,3.6,Maine Coon,Male,lethargy,pale gums,none,none,1,no,no,no,no,no,no,no,no,no,38.9,185,anemia
1.0,5.1,Siamese,Male,lethargy,sunken eyes,none,none,3,no,no,no,no,no,no,no,no,yes,38.7,181,dehydration
4.0,4.5,Maine Coon,Male,diarrhea,dry gums,fever,increased thirst,10,no,yes,yes,no,no,no,no,no,no,39.5,216,chronic kidney disease
12.0,4.9,Indian Domestic,Female,bloated abdomen,diarrhea,eye discharge,lethargy,10,yes,no,yes,no,no,no,no,no,yes,38.9,189,feline conjunctivitis
3.0,6.2,Bengal,Female,bloated abdomen,diarrhea,fever,lethargy,5,no,no,yes,no,no,no,no,no,no,39.5,208,anemia
10.0,6.5,Persian,Female,eye discharge,fever,lethargy,none,2,no,no,no,no,no,no,no,no,yes,39.5,221,anemia
13.0,6.5,Bengal,Female,bloated abdomen,increased thirst,weight loss,none,2,no,no,no,no,no,no,no,no,no,39.0,177,chronic kidney disease
5.0,6.7,Indian Domestic,Female,blood in urine,eye discharge,lethargy,loss of appetite,3,yes,yes,no,no,no,no,no,no,yes,38.7,169,feline conjunctivitis
10.0,2.7,Maine Coon,Male,hair loss,none,none,none,1,no,no,no,no,no,no,yes,no,no,38.5,167,skin allergy
14.0,3.8,Indian Domestic,Male,red skin,none,none,none,5,no,no,no,no,no,no,no,no,no,38.1,192,skin allergy
11.0,4.1,Persian,Female,fever,increased thirst,itching,red skin,5,no,no,no,yes,no,no,yes,no,no,39.5,231,chronic kidney disease
1.0,5.5,Persian,Male,diarrhea,fever,lethargy,loss of appetite,2,yes,yes,yes,no,no,no,no,no,no,39.5,239,feline panleukopenia
5.0,4.2,Maine Coon,Male,diarrhea,fever,lethargy,vomiting,5,no,yes,yes,no,no,no,no,no,no,39.5,224,feline panleukopenia
2.0,5.9,Bengal,Female,fever,hair loss,red skin,none,4,no,no,no,no,no,no,yes,no,no,39.5,217,feline panleukopenia
7.0,2.9,Bengal,Male,eye discharge,red eyes,squinting,none,14,no,no,no,no,no,no,no,no,yes,38.8,197,feline conjunctivitis
4.0,4.1,Bengal,Female,dry gums,fever,lethargy,nasal discharge,1,no,no,no,no,no,no,no,yes,no,39.5,188,dehydration
11.0,4.6,Siamese,Male,fever,none,none,none,4,no,no,no,no,no,no,no,no,no,39.5,216,upper respiratory infection
8.0,4.5,Maine Coon,Female,dry gums,sunken eyes,weight loss,none,3,no,no,no,no,no,no,no,no,yes,38.6,181,dehydration
4.0,6.3,Maine Coon,Female,dry gums,lethargy,sunken eyes,weakness,3,no,no,no,no,no,no,no,no,yes,38.7,180,anemia
7.0,3.2,Indian Domestic,Female,blood in urine,frequent urination,hair loss,itching,2,no,no,no,no,no,no,yes,no,no,39.0,194,skin allergy
3.0,6.1,Siamese,Male,eye discharge,increased thirst,lethargy,red eyes,3,no,no,no,no,no,no,no,no,yes,38.7,190,chronic kidney disease
9.0,6.4,Indian Domestic,Male,diarrhea,fever,increased thirst,pale gums,2,no,no,yes,no,no,no,no,no,no,39.5,198,anemia
12.0,4.2,Siamese,Female,hair loss,itching,lethargy,loss of appetite,2,yes,yes,no,no,no,no,yes,no,no,38.4,192,anemia
9.0,6.7,Indian Domestic,Male,fever,nasal discharge,none,none,2,no,no,no,no,no,no,no,yes,no,39.5,216,upper respiratory infection
7.0,7.0,Maine Coon,Male,bloated abdomen,weight loss,none,none,3,no,no,no,no,no,no,no,no,no,38.2,167,worm infestation
3.0,4.0,Maine Coon,Male,diarrhea,fever,increased thirst,lethargy,2,no,yes,yes,no,no,no,no,no,yes,39.5,222,chronic kidney disease
6.0,3.1,Maine Coon,Male,bloated abdomen,diarrhea,lethargy,pale gums,1,no,no,yes,no,no,no,no,no,no,38.3,198,anemia
4.0,6.7,Persian,Male,hair loss,increased thirst,itching,lethargy,2,no,no,no,no,no,no,yes,no,no,38.7,173,chronic kidney disease
15.0,4.8,Indian Domestic,Male,dry gums,increased thirst,lethargy,weight loss,1,no,no,no,no,no,no,no,no,no,38.7,199,chronic kidney disease
8.0,3.1,Indian Domestic,Male,eye discharge,fever,nasal discharge,sneezing,2,no,no,no,yes,no,no,no,yes,yes,39.5,211,feline conjunctivitis
3.0,2.7,Indian Domestic,Female,blood in urine,frequent urination,weight loss,none,5,no,no,no,no,no,no,no,no,no,38.4,183,chronic kidney disease
