age,gender,breed,weight,symptoms,diseases
3,female,siamese,4.3,"bloated abdomen, diarrhea, frequent urination, weight loss","urinary tract infection, worm infestation"
1,female,bengal,5.3,"bloated abdomen, blood in urine, frequent urination, painful urination, sunken eyes","dehydration, urinary tract infection, worm infestation"
4,female,persian,3.0,"fever, itching, nasal discharge, red skin, sneezing","skin allergy, upper respiratory infection"
3,male,indian domestic,6.2,"eye discharge, lethargy, red eyes, squinting, sunken eyes, weight loss","chronic kidney disease, dehydration, feline conjunctivitis"
8,female,persian,5.5,"bloated abdomen, blood in urine, fever, frequent urination, nasal discharge, painful urination","upper respiratory infection, urinary tract infection, worm infestation"
5,female,bengal,6.4,itching,skin allergy
8,male,siamese,5.9,"eye discharge, red eyes, vomiting","feline conjunctivitis, gastritis"
5,male,persian,4.2,"bloated abdomen, blood in urine, diarrhea, painful urination","urinary tract infection, worm infestation"
6,female,persian,4.4,"fever, hair loss, itching, lethargy, nasal discharge, sneezing","anemia, skin allergy, upper respiratory infection"
11,male,indian domestic,3.0,"lethargy, loss of appetite, vomiting",gastritis
1,male,indian domestic,4.7,"lethargy, loss of appetite, sunken eyes, weakness","anemia, dehydration, gastritis"
10,female,persian,5.9,"blood in urine, eye discharge, frequent urination, hair loss, painful urination, red eyes, red skin","feline conjunctivitis, skin allergy, urinary tract infection"
5,female,persian,4.7,"dry gums, lethargy, loss of appetite, sunken eyes, vomiting","chronic kidney disease, dehydration, gastritis"
2,male,persian,4.1,"pale gums, weakness",anemia
1,male,persian,6.0,"diarrhea, fever, lethargy, nasal discharge, pale gums, sneezing, vomiting","anemia, feline panleukopenia, upper respiratory infection"
3,male,indian domestic,4.6,sneezing,upper respiratory infection
3,female,siamese,6.8,lethargy,dehydration
12,male,siamese,6.4,"eye discharge, red eyes, squinting",feline conjunctivitis
1,male,persian,5.8,"blood in urine, diarrhea, frequent urination, lethargy, painful urination, vomiting, weight loss","chronic kidney disease, feline panleukopenia, urinary tract infection"
13,male,indian domestic,7.0,"fever, hair loss, red skin, vomiting","feline panleukopenia, skin allergy"
8,female,maine coon,3.6,"blood in urine, frequent urination, hair loss, itching, painful urination, red skin","skin allergy, urinary tract infection"
13,male,indian domestic,2.7,"increased thirst, lethargy, loss of appetite, red eyes, weight loss","chronic kidney disease, feline conjunctivitis, gastritis"
13,female,persian,2.9,"bloated abdomen, diarrhea, hair loss, red skin, squinting, weight loss","feline conjunctivitis, skin allergy, worm infestation"
15,female,siamese,4.5,"blood in urine, frequent urination, painful urination, red skin","skin allergy, urinary tract infection"
1,male,maine coon,4.7,"lethargy, pale gums, weakness",anemia
2,male,siamese,5.4,"hair loss, increased thirst, lethargy, weight loss","chronic kidney disease, skin allergy"
12,male,siamese,5.9,"diarrhea, weight loss",worm infestation
7,female,maine coon,3.0,"fever, itching, red skin, sneezing","skin allergy, upper respiratory infection"
14,female,persian,6.7,"eye discharge, lethargy, loss of appetite, red eyes, squinting, vomiting","feline conjunctivitis, gastritis"
13,female,indian domestic,6.1,"eye discharge, fever, red eyes, squinting","feline conjunctivitis, upper respiratory infection"
4,female,siamese,2.6,"blood in urine, frequent urination, painful urination",urinary tract infection
6,female,bengal,4.6,"itching, red skin, squinting","feline conjunctivitis, skin allergy"
10,female,indian domestic,4.9,"fever, sneezing",upper respiratory infection
10,female,maine coon,4.9,"dry gums, eye discharge, lethargy, red eyes, squinting, sunken eyes","dehydration, feline conjunctivitis"
2,female,maine coon,5.4,"dry gums, lethargy, sunken eyes, vomiting","dehydration, feline panleukopenia"
2,female,siamese,5.7,nasal discharge,upper respiratory infection
13,male,siamese,3.0,"hair loss, increased thirst, itching, lethargy, red skin, vomiting","chronic kidney disease, gastritis, skin allergy"
6,male,siamese,3.8,"red eyes, squinting",feline conjunctivitis
7,female,maine coon,3.3,"blood in urine, frequent urination, increased thirst, lethargy, painful urination, weight loss","chronic kidney disease, urinary tract infection"
5,male,persian,4.9,"increased thirst, lethargy, loss of appetite, pale gums, vomiting, weakness, weight loss","anemia, chronic kidney disease, gastritis"
8,male,maine coon,5.3,"blood in urine, painful urination",urinary tract infection
4,female,maine coon,6.0,"increased thirst, nasal discharge, weight loss","chronic kidney disease, upper respiratory infection"
3,female,indian domestic,2.8,"dry gums, fever, itching, lethargy, red skin","dehydration, feline panleukopenia, skin allergy"
4,female,maine coon,6.3,"blood in urine, frequent urination, painful urination",urinary tract infection
4,female,maine coon,5.3,"diarrhea, dry gums, fever, lethargy, nasal discharge, sneezing, sunken eyes","dehydration, upper respiratory infection, worm infestation"
12,male,siamese,6.4,"fever, nasal discharge",upper respiratory infection
6,female,indian domestic,3.5,blood in urine,urinary tract infection
3,female,indian domestic,3.7,"hair loss, itching",skin allergy
7,male,indian domestic,4.1,hair loss,skin allergy
2,male,siamese,6.1,"eye discharge, lethargy, loss of appetite, vomiting","feline conjunctivitis, gastritis"
10,female,persian,6.1,"lethargy, loss of appetite, vomiting",gastritis
4,male,siamese,3.0,"hair loss, itching, red skin",skin allergy
15,female,persian,5.4,"bloated abdomen, diarrhea, weight loss",worm infestation
15,male,persian,3.4,"bloated abdomen, diarrhea, lethargy, pale gums, weight loss","anemia, gastritis, worm infestation"
2,female,maine coon,2.6,"blood in urine, eye discharge, lethargy, loss of appetite, squinting, vomiting","feline conjunctivitis, gastritis, urinary tract infection"
15,male,siamese,6.6,"diarrhea, fever, lethargy, nasal discharge, pale gums, sneezing, weight loss","anemia, upper respiratory infection, worm infestation"
8,male,indian domestic,6.0,"dry gums, loss of appetite, sunken eyes, vomiting","dehydration, gastritis"
6,male,bengal,3.6,"blood in urine, frequent urination",urinary tract infection
2,male,siamese,6.7,eye discharge,feline conjunctivitis
12,female,indian domestic,4.7,"hair loss, itching, red eyes, red skin, vomiting","feline conjunctivitis, gastritis, skin allergy"
14,female,bengal,3.1,"diarrhea, weight loss",worm infestation
3,male,maine coon,4.2,blood in urine,urinary tract infection
15,male,indian domestic,3.1,"diarrhea, fever, lethargy, nasal discharge","feline panleukopenia, upper respiratory infection"
12,male,bengal,4.0,"diarrhea, fever, lethargy, vomiting",feline panleukopenia
1,female,indian domestic,5.1,"blood in urine, frequent urination, hair loss, itching, lethargy, sunken eyes","dehydration, skin allergy, urinary tract infection"
5,male,indian domestic,4.7,hair loss,skin allergy
13,female,indian domestic,5.3,weight loss,chronic kidney disease
9,female,maine coon,5.5,"fever, lethargy, loss of appetite, pale gums, weakness","anemia, feline panleukopenia, gastritis"
11,female,indian domestic,5.6,"dry gums, increased thirst, lethargy, weight loss","chronic kidney disease, dehydration"
1,female,indian domestic,4.3,"diarrhea, dry gums, fever, lethargy, sunken eyes, vomiting","dehydration, feline panleukopenia, gastritis"
13,male,persian,7.0,"increased thirst, lethargy, weight loss",chronic kidney disease
15,female,persian,7.0,"bloated abdomen, blood in urine, frequent urination, weight loss","urinary tract infection, worm infestation"
8,female,maine coon,5.9,"lethargy, red eyes, weakness","anemia, feline conjunctivitis, feline panleukopenia"
10,male,siamese,4.4,"bloated abdomen, diarrhea, increased thirst, lethargy, weight loss","chronic kidney disease, worm infestation"
7,male,bengal,3.8,"diarrhea, fever, lethargy, vomiting",feline panleukopenia
13,male,maine coon,4.7,blood in urine,urinary tract infection
1,male,maine coon,5.2,"blood in urine, frequent urination, hair loss, itching, lethargy, loss of appetite, painful urination, red skin","gastritis, skin allergy, urinary tract infection"
3,male,indian domestic,6.3,"diarrhea, fever, lethargy, vomiting",feline panleukopenia
7,male,bengal,6.1,"bloated abdomen, diarrhea, eye discharge, lethargy, loss of appetite, red eyes, squinting, vomiting","feline conjunctivitis, gastritis, worm infestation"
13,male,maine coon,6.1,"lethargy, loss of appetite, vomiting",gastritis
15,male,bengal,2.7,"fever, nasal discharge, painful urination, sneezing","upper respiratory infection, urinary tract infection"
11,male,bengal,3.7,"hair loss, itching, lethargy, loss of appetite, red skin, vomiting, weight loss","chronic kidney disease, gastritis, skin allergy"
3,female,persian,3.6,"lethargy, loss of appetite, pale gums, red eyes, vomiting","anemia, feline conjunctivitis, gastritis"
15,female,maine coon,6.6,"lethargy, vomiting",gastritis
4,female,maine coon,5.9,"blood in urine, frequent urination, lethargy, loss of appetite, painful urination, weakness","anemia, gastritis, urinary tract infection"
15,male,maine coon,3.5,"bloated abdomen, diarrhea, painful urination, weight loss","urinary tract infection, worm infestation"
4,male,persian,4.4,"increased thirst, squinting, weight loss","chronic kidney disease, feline conjunctivitis"
1,female,bengal,4.3,sunken eyes,dehydration
15,female,persian,2.8,"blood in urine, dry gums, fever, frequent urination, nasal discharge, painful urination, sneezing, sunken eyes","dehydration, upper respiratory infection, urinary tract infection"
4,male,bengal,2.8,frequent urination,urinary tract infection
11,female,bengal,2.7,"blood in urine, lethargy, nasal discharge","gastritis, upper respiratory infection, urinary tract infection"
12,female,bengal,4.6,"fever, nasal discharge, sneezing",upper respiratory infection
8,female,maine coon,2.9,"lethargy, loss of appetite, pale gums, vomiting, weakness","anemia, gastritis"
11,male,bengal,2.6,"lethargy, red eyes, sunken eyes, weight loss","chronic kidney disease, dehydration, feline conjunctivitis"
9,male,persian,4.2,"diarrhea, itching, nasal discharge","feline panleukopenia, skin allergy, upper respiratory infection"
2,male,bengal,6.3,"blood in urine, frequent urination, hair loss, itching, painful urination","skin allergy, urinary tract infection"
11,male,persian,4.0,"bloated abdomen, increased thirst, lethargy, sneezing, weight loss","chronic kidney disease, upper respiratory infection, worm infestation"
4,male,maine coon,4.9,"blood in urine, diarrhea, fever, painful urination, sneezing","upper respiratory infection, urinary tract infection, worm infestation"
5,male,siamese,5.2,"eye discharge, hair loss, itching, red eyes, red skin, squinting","feline conjunctivitis, skin allergy"
15,female,bengal,3.8,"blood in urine, dry gums, nasal discharge, painful urination, sneezing","dehydration, upper respiratory infection, urinary tract infection"
7,female,maine coon,4.8,"increased thirst, lethargy, pale gums, weakness, weight loss","anemia, chronic kidney disease, dehydration"
7,male,indian domestic,4.8,"hair loss, increased thirst, lethargy, red skin, vomiting, weight loss","chronic kidney disease, gastritis, skin allergy"
4,female,indian domestic,3.4,"bloated abdomen, diarrhea, fever, hair loss, vomiting","feline panleukopenia, skin allergy, worm infestation"
6,male,persian,2.8,"lethargy, loss of appetite, vomiting",gastritis
1,female,persian,4.1,"diarrhea, increased thirst, lethargy, vomiting","chronic kidney disease, feline panleukopenia"
5,female,indian domestic,2.8,"fever, lethargy, loss of appetite, nasal discharge, sneezing, vomiting","gastritis, upper respiratory infection"
11,female,maine coon,4.8,weakness,anemia
11,female,indian domestic,6.1,"fever, nasal discharge, pale gums, sneezing","anemia, upper respiratory infection"
9,male,persian,5.3,"eye discharge, lethargy, pale gums, weakness, weight loss","anemia, chronic kidney disease, feline conjunctivitis"
7,male,persian,5.9,nasal discharge,upper respiratory infection
6,female,bengal,4.4,"bloated abdomen, lethargy, loss of appetite, sunken eyes, weight loss","dehydration, gastritis, worm infestation"
8,female,maine coon,4.0,"diarrhea, fever, lethargy, vomiting",feline panleukopenia
13,female,indian domestic,3.4,"frequent urination, increased thirst, lethargy, vomiting","chronic kidney disease, gastritis, urinary tract infection"
13,male,maine coon,2.7,"blood in urine, frequent urination, itching, painful urination, red skin","skin allergy, urinary tract infection"
9,female,maine coon,5.0,"diarrhea, vomiting",feline panleukopenia
9,male,siamese,4.9,"bloated abdomen, diarrhea, increased thirst, lethargy, weight loss","chronic kidney disease, worm infestation"
7,male,indian domestic,5.1,"eye discharge, squinting, vomiting","feline conjunctivitis, gastritis"
10,male,persian,6.6,"blood in urine, diarrhea, eye discharge, fever, lethargy, painful urination, red eyes, squinting, vomiting","feline conjunctivitis, feline panleukopenia, urinary tract infection"
11,female,maine coon,3.5,lethargy,gastritis
2,female,siamese,3.0,"increased thirst, lethargy, loss of appetite","chronic kidney disease, gastritis"
10,male,bengal,4.6,bloated abdomen,worm infestation
2,male,bengal,2.9,"blood in urine, dry gums, lethargy, sunken eyes","dehydration, urinary tract infection"
15,female,siamese,2.6,weakness,anemia
12,female,maine coon,4.9,"dry gums, fever, lethargy, red eyes, sunken eyes","dehydration, feline conjunctivitis, upper respiratory infection"
14,male,bengal,5.1,"eye discharge, lethargy, pale gums, squinting, weakness","anemia, feline conjunctivitis"
10,male,persian,6.4,"fever, hair loss, increased thirst, itching, lethargy, nasal discharge, red skin, weight loss","chronic kidney disease, skin allergy, upper respiratory infection"
9,female,persian,3.3,"lethargy, weakness","anemia, feline panleukopenia"
2,female,indian domestic,6.4,sunken eyes,dehydration
6,female,siamese,6.1,"fever, loss of appetite, sneezing, vomiting","feline panleukopenia, gastritis, upper respiratory infection"
6,female,persian,4.5,red skin,skin allergy
12,female,persian,6.6,"blood in urine, pale gums, squinting, weakness","anemia, feline conjunctivitis, urinary tract infection"
9,male,siamese,5.1,"diarrhea, fever, itching, lethargy, loss of appetite, red skin, vomiting","feline panleukopenia, gastritis, skin allergy"
11,female,persian,3.1,"diarrhea, fever",feline panleukopenia
15,female,bengal,6.9,"bloated abdomen, diarrhea, dry gums, lethargy, loss of appetite, sunken eyes, weight loss","dehydration, gastritis, worm infestation"
2,male,bengal,4.7,weakness,anemia
4,male,indian domestic,6.5,"diarrhea, lethargy",feline panleukopenia
11,male,bengal,4.1,"fever, nasal discharge, sneezing",upper respiratory infection
13,male,persian,4.4,"diarrhea, nasal discharge, sneezing, weight loss","upper respiratory infection, worm infestation"
10,female,persian,4.4,"blood in urine, eye discharge, painful urination, red eyes, squinting","feline conjunctivitis, urinary tract infection"
13,male,siamese,3.4,"diarrhea, increased thirst, lethargy, vomiting","chronic kidney disease, feline panleukopenia"
8,female,persian,3.9,"dry gums, lethargy, loss of appetite, sunken eyes, vomiting","dehydration, gastritis"
12,male,maine coon,3.3,"diarrhea, weight loss",worm infestation
7,male,indian domestic,5.0,"diarrhea, fever, lethargy",feline panleukopenia
15,male,persian,3.5,"bloated abdomen, lethargy, loss of appetite, vomiting","gastritis, worm infestation"
5,male,bengal,2.9,"blood in urine, diarrhea, fever, frequent urination, lethargy, red eyes, vomiting","feline conjunctivitis, feline panleukopenia, urinary tract infection"
11,male,bengal,4.7,"bloated abdomen, diarrhea, itching, red skin, weight loss","skin allergy, worm infestation"
7,male,bengal,4.4,"bloated abdomen, diarrhea, weight loss",worm infestation
3,female,indian domestic,5.4,"blood in urine, eye discharge, fever, frequent urination, lethargy, red eyes, squinting","feline conjunctivitis, feline panleukopenia, urinary tract infection"
7,female,bengal,6.4,"dry gums, fever, hair loss, itching, lethargy, red skin, sunken eyes","dehydration, feline panleukopenia, skin allergy"
15,female,persian,4.2,"diarrhea, frequent urination, increased thirst, lethargy, painful urination, weight loss","chronic kidney disease, urinary tract infection, worm infestation"
13,female,maine coon,2.7,"increased thirst, lethargy, vomiting","chronic kidney disease, gastritis"
2,male,persian,6.6,"bloated abdomen, blood in urine, painful urination, red eyes, squinting, weight loss","feline conjunctivitis, urinary tract infection, worm infestation"
4,male,siamese,5.6,"bloated abdomen, lethargy","dehydration, worm infestation"
9,male,siamese,6.5,vomiting,gastritis
1,female,siamese,5.6,loss of appetite,gastritis
5,male,persian,4.2,red skin,skin allergy
1,male,siamese,6.4,diarrhea,feline panleukopenia
13,female,siamese,5.1,"increased thirst, lethargy, vomiting","chronic kidney disease, dehydration, gastritis"
4,male,maine coon,4.8,"bloated abdomen, diarrhea, lethargy, sunken eyes","dehydration, feline panleukopenia, worm infestation"
10,male,indian domestic,4.6,loss of appetite,gastritis
12,male,bengal,5.0,"hair loss, lethargy, red skin, sunken eyes","dehydration, gastritis, skin allergy"
4,female,persian,6.3,"eye discharge, lethargy, pale gums, weakness","anemia, feline conjunctivitis"
4,male,persian,6.2,"diarrhea, fever, increased thirst, vomiting, weight loss","chronic kidney disease, feline panleukopenia, worm infestation"
2,male,maine coon,5.6,vomiting,feline panleukopenia
1,female,siamese,6.9,"fever, lethargy, pale gums, red eyes, weakness","anemia, feline conjunctivitis, feline panleukopenia"
3,female,siamese,5.3,"eye discharge, lethargy, loss of appetite, red eyes, squinting, vomiting, weight loss","chronic kidney disease, feline conjunctivitis, gastritis"
7,male,siamese,5.9,"blood in urine, eye discharge, frequent urination, hair loss, itching, painful urination, red eyes, red skin","feline conjunctivitis, skin allergy, urinary tract infection"
14,male,maine coon,6.2,"increased thirst, lethargy, loss of appetite, pale gums, vomiting","anemia, chronic kidney disease, gastritis"
1,female,persian,5.3,"diarrhea, fever, lethargy, loss of appetite, vomiting","feline panleukopenia, gastritis"
2,male,indian domestic,5.6,"bloated abdomen, diarrhea, weight loss",worm infestation
4,female,persian,6.7,"bloated abdomen, diarrhea, dry gums, lethargy, sunken eyes, weight loss","chronic kidney disease, dehydration, worm infestation"
7,female,bengal,3.8,"fever, nasal discharge, sneezing",upper respiratory infection
5,female,maine coon,2.5,"bloated abdomen, diarrhea, dry gums, sneezing, sunken eyes, weight loss","dehydration, upper respiratory infection, worm infestation"
7,female,indian domestic,6.0,"bloated abdomen, diarrhea, lethargy, weight loss","chronic kidney disease, worm infestation"
9,female,maine coon,3.4,"bloated abdomen, blood in urine, diarrhea, frequent urination, painful urination","urinary tract infection, worm infestation"
1,male,persian,6.5,"frequent urination, hair loss, itching, nasal discharge, painful urination","skin allergy, upper respiratory infection, urinary tract infection"
8,male,persian,5.6,"diarrhea, eye discharge, fever, lethargy, loss of appetite, red eyes, squinting, vomiting","feline conjunctivitis, feline panleukopenia, gastritis"
10,male,siamese,4.2,"blood in urine, hair loss, itching, lethargy, pale gums, red skin, weakness","anemia, skin allergy, urinary tract infection"
10,female,bengal,4.7,eye discharge,feline conjunctivitis
10,male,maine coon,3.1,"diarrhea, lethargy, vomiting",feline panleukopenia
5,female,maine coon,5.5,"hair loss, lethargy, loss of appetite, vomiting","feline panleukopenia, gastritis, skin allergy"
5,male,indian domestic,4.7,"dry gums, fever, lethargy, sneezing, sunken eyes","dehydration, feline panleukopenia, upper respiratory infection"
8,male,maine coon,4.6,loss of appetite,gastritis
8,female,siamese,6.7,"lethargy, pale gums, sunken eyes, weakness","anemia, dehydration"
3,female,maine coon,6.8,sunken eyes,dehydration
13,female,siamese,6.7,"diarrhea, fever, lethargy, pale gums, vomiting, weakness","anemia, feline panleukopenia"
14,female,persian,4.5,"eye discharge, lethargy, red eyes, squinting","feline conjunctivitis, gastritis"
3,female,maine coon,3.6,itching,skin allergy
8,female,indian domestic,5.2,"diarrhea, increased thirst, lethargy, weight loss","chronic kidney disease, worm infestation"
2,male,siamese,6.6,"bloated abdomen, hair loss, increased thirst, lethargy, red skin, weight loss","chronic kidney disease, skin allergy, worm infestation"
5,female,maine coon,5.2,"dry gums, lethargy, nasal discharge, sunken eyes, weight loss","chronic kidney disease, dehydration, upper respiratory infection"
8,male,maine coon,4.8,"hair loss, increased thirst, itching, lethargy, pale gums, red skin, weakness, weight loss","anemia, chronic kidney disease, skin allergy"
10,male,bengal,6.4,"fever, nasal discharge",upper respiratory infection
7,female,persian,3.0,"pale gums, weakness",anemia
15,female,siamese,3.9,"lethargy, vomiting",feline panleukopenia
15,male,persian,5.7,"bloated abdomen, diarrhea, lethargy, sneezing, vomiting","feline panleukopenia, upper respiratory infection, worm infestation"
7,female,siamese,4.7,"eye discharge, lethargy, weight loss","chronic kidney disease, feline conjunctivitis"
3,male,indian domestic,2.9,"fever, nasal discharge, red eyes, sneezing, squinting, weight loss","chronic kidney disease, feline conjunctivitis, upper respiratory infection"
2,male,siamese,2.8,"bloated abdomen, diarrhea, weight loss",worm infestation
1,female,maine coon,4.6,"dry gums, sunken eyes",dehydration
10,female,bengal,4.7,"itching, red skin",skin allergy
12,male,persian,4.2,"dry gums, lethargy, sunken eyes",dehydration
10,male,maine coon,2.8,"diarrhea, nasal discharge, sneezing","feline panleukopenia, upper respiratory infection"
15,female,maine coon,6.8,"diarrhea, fever, lethargy, sunken eyes, vomiting","dehydration, feline panleukopenia, gastritis"
1,male,maine coon,2.8,"dry gums, lethargy, loss of appetite, red eyes, squinting, sunken eyes","dehydration, feline conjunctivitis, gastritis"
12,male,bengal,5.9,"lethargy, pale gums, weakness",anemia
3,female,bengal,3.4,"increased thirst, lethargy, painful urination, weight loss","chronic kidney disease, urinary tract infection"
12,female,siamese,6.1,"diarrhea, fever, lethargy, vomiting",feline panleukopenia
6,female,maine coon,2.9,"lethargy, pale gums, vomiting, weakness","anemia, gastritis"
4,female,maine coon,5.4,"fever, hair loss, itching, lethargy, loss of appetite, nasal discharge, red skin, sneezing, vomiting","gastritis, skin allergy, upper respiratory infection"
2,male,bengal,5.4,"bloated abdomen, fever, increased thirst, lethargy, vomiting, weight loss","chronic kidney disease, feline panleukopenia, worm infestation"
10,male,bengal,3.9,red skin,skin allergy
2,female,persian,6.3,"bloated abdomen, diarrhea, lethargy","feline panleukopenia, worm infestation"
8,male,siamese,4.5,"blood in urine, frequent urination",urinary tract infection
1,female,siamese,5.4,"loss of appetite, squinting, vomiting","feline conjunctivitis, gastritis"
12,female,bengal,3.6,"diarrhea, lethargy, weakness","anemia, feline panleukopenia"
4,male,bengal,3.3,"lethargy, loss of appetite, vomiting",gastritis
12,male,persian,3.9,"hair loss, itching, pale gums, red skin, weakness","anemia, skin allergy"
12,female,indian domestic,6.1,"blood in urine, lethargy, loss of appetite, painful urination","dehydration, gastritis, urinary tract infection"
14,male,bengal,6.4,"blood in urine, frequent urination, painful urination",urinary tract infection
12,male,indian domestic,2.5,"fever, nasal discharge, sneezing",upper respiratory infection
11,female,bengal,3.6,"increased thirst, lethargy, loss of appetite, weakness","anemia, chronic kidney disease, gastritis"
2,male,bengal,6.6,"eye discharge, red eyes, squinting",feline conjunctivitis
12,male,bengal,4.1,"lethargy, red skin, weakness","anemia, skin allergy"
7,female,indian domestic,6.0,blood in urine,urinary tract infection
1,female,indian domestic,3.1,"bloated abdomen, diarrhea",worm infestation
15,male,maine coon,3.9,"dry gums, lethargy, loss of appetite, pale gums, vomiting","anemia, dehydration, gastritis"
5,male,indian domestic,6.0,"eye discharge, red eyes",feline conjunctivitis
8,female,indian domestic,5.8,"lethargy, loss of appetite, red eyes, vomiting","feline conjunctivitis, gastritis"
1,female,persian,5.7,"diarrhea, lethargy, nasal discharge, weight loss","dehydration, upper respiratory infection, worm infestation"
10,male,indian domestic,6.5,"fever, lethargy",feline panleukopenia
11,male,indian domestic,3.7,"diarrhea, red eyes, weight loss","feline conjunctivitis, worm infestation"
4,female,maine coon,4.0,"increased thirst, lethargy, pale gums, weakness, weight loss","anemia, chronic kidney disease"
15,male,bengal,3.7,"eye discharge, red eyes, weight loss","feline conjunctivitis, worm infestation"
13,male,bengal,3.4,"bloated abdomen, increased thirst, lethargy, weight loss","chronic kidney disease, worm infestation"
6,male,persian,3.7,"eye discharge, lethargy, loss of appetite, red eyes, squinting","chronic kidney disease, feline conjunctivitis, gastritis"
6,male,bengal,3.3,"fever, increased thirst, lethargy, sneezing, weight loss","chronic kidney disease, dehydration, upper respiratory infection"
9,male,maine coon,6.4,eye discharge,feline conjunctivitis
14,male,persian,5.3,"eye discharge, lethargy, red eyes, squinting, sunken eyes","dehydration, feline conjunctivitis, gastritis"
1,male,bengal,6.2,"diarrhea, fever, lethargy","feline panleukopenia, upper respiratory infection"
7,female,maine coon,4.6,"lethargy, vomiting","anemia, feline panleukopenia"
7,male,bengal,4.3,"blood in urine, dry gums, lethargy, sunken eyes","dehydration, urinary tract infection"
8,male,bengal,5.7,"itching, lethargy, pale gums, red skin, weakness","anemia, skin allergy"
11,male,persian,6.1,"fever, nasal discharge, sneezing",upper respiratory infection
8,female,siamese,5.6,"eye discharge, frequent urination, painful urination, red eyes","feline conjunctivitis, urinary tract infection"
11,male,bengal,6.7,"diarrhea, loss of appetite, sunken eyes, vomiting","dehydration, feline panleukopenia, gastritis"
6,male,siamese,6.7,vomiting,gastritis
3,male,persian,6.4,"hair loss, itching, lethargy, loss of appetite, pale gums","anemia, gastritis, skin allergy"
7,female,bengal,5.9,"lethargy, pale gums, squinting","anemia, feline conjunctivitis"
12,female,indian domestic,6.9,"diarrhea, hair loss, itching, loss of appetite, red skin, weight loss","gastritis, skin allergy, worm infestation"
10,male,indian domestic,5.2,"eye discharge, lethargy, red eyes, squinting, vomiting","feline conjunctivitis, gastritis"
11,female,maine coon,3.0,"bloated abdomen, diarrhea, lethargy, loss of appetite, vomiting, weight loss","gastritis, worm infestation"
12,male,bengal,6.1,"bloated abdomen, diarrhea, weight loss",worm infestation
15,male,persian,4.4,loss of appetite,gastritis
2,female,siamese,5.2,"bloated abdomen, hair loss, lethargy, weight loss","feline panleukopenia, skin allergy, worm infestation"
8,female,siamese,3.8,vomiting,gastritis
1,female,maine coon,5.3,"sneezing, vomiting","feline panleukopenia, upper respiratory infection"
11,male,maine coon,5.4,"lethargy, nasal discharge, pale gums, weight loss","anemia, chronic kidney disease, upper respiratory infection"
5,male,maine coon,4.5,"hair loss, itching, lethargy, pale gums, red eyes, red skin, squinting, weakness","anemia, feline conjunctivitis, skin allergy"
10,male,siamese,3.2,"loss of appetite, red skin, vomiting","gastritis, skin allergy"
3,male,siamese,3.2,"blood in urine, frequent urination, hair loss, itching, painful urination, weakness","anemia, skin allergy, urinary tract infection"
4,female,siamese,2.6,sunken eyes,dehydration
5,female,indian domestic,2.8,"diarrhea, dry gums, fever, lethargy, vomiting","dehydration, feline panleukopenia"
7,male,siamese,2.7,"fever, nasal discharge",upper respiratory infection
13,male,maine coon,2.7,"bloated abdomen, diarrhea, lethargy, loss of appetite, vomiting, weight loss","gastritis, worm infestation"
4,male,indian domestic,5.9,"hair loss, increased thirst, itching, lethargy, red eyes, red skin, squinting, weight loss","chronic kidney disease, feline conjunctivitis, skin allergy"
10,male,maine coon,5.1,"blood in urine, frequent urination, lethargy, painful urination, pale gums, weakness","anemia, urinary tract infection"
6,male,persian,5.4,"bloated abdomen, diarrhea, lethargy, weakness, weight loss","anemia, worm infestation"
11,male,siamese,5.5,"bloated abdomen, diarrhea, weight loss","chronic kidney disease, worm infestation"
4,female,indian domestic,5.7,"diarrhea, fever, lethargy, vomiting, weight loss","chronic kidney disease, feline panleukopenia"
10,female,bengal,3.1,"dry gums, eye discharge, lethargy, pale gums, red eyes, squinting, sunken eyes, weakness","anemia, dehydration, feline conjunctivitis"
3,female,bengal,3.7,lethargy,gastritis
1,female,siamese,6.6,"bloated abdomen, dry gums, lethargy, weight loss","dehydration, worm infestation"
7,male,persian,6.8,"dry gums, fever, nasal discharge, sneezing","dehydration, upper respiratory infection"
9,male,persian,4.9,painful urination,urinary tract infection
4,female,siamese,4.0,"hair loss, itching, red skin",skin allergy
10,male,persian,6.0,"eye discharge, red eyes, sneezing, squinting","feline conjunctivitis, upper respiratory infection"
5,female,indian domestic,4.5,"lethargy, red skin, sunken eyes","dehydration, skin allergy"
9,female,persian,5.8,"diarrhea, lethargy, vomiting","anemia, feline panleukopenia"
2,male,persian,5.3,"bloated abdomen, lethargy, pale gums","anemia, worm infestation"
9,female,bengal,5.8,"dry gums, fever, lethargy, vomiting","dehydration, feline panleukopenia, upper respiratory infection"
13,female,siamese,5.9,itching,skin allergy
3,female,bengal,6.5,"blood in urine, fever, frequent urination, hair loss, red skin, sneezing","skin allergy, upper respiratory infection, urinary tract infection"
4,female,siamese,6.2,"bloated abdomen, diarrhea, weight loss",worm infestation
12,female,siamese,6.7,"bloated abdomen, diarrhea, nasal discharge, sneezing, vomiting","feline panleukopenia, upper respiratory infection, worm infestation"
12,female,siamese,4.8,"lethargy, loss of appetite, pale gums, weakness","anemia, gastritis"
1,female,bengal,6.1,"diarrhea, fever, lethargy, vomiting, weakness","anemia, feline panleukopenia"
4,female,bengal,6.5,"bloated abdomen, sneezing","upper respiratory infection, worm infestation"
1,male,maine coon,5.6,"frequent urination, lethargy, pale gums, weakness","anemia, urinary tract infection"
