Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Nasal_Discharge,Eye_Discharge,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Body_Temperature,Heart_Rate,Disease_Prediction
Cat,Ragdoll,3.2,Male,5.7,lethargy,enlarged lymph nodes,,,71 days,Yes,No,Yes,No,No,No,Yes,No,No,39.3°C,124,Feline Leukemia Virus
Cat,Domestic Shorthair,12.1,Female,5.1,coughing,exercise intolerance,,,60 days,No,No,No,Yes,No,Yes,No,No,No,38.3°C,155,Asthma
Cat,Mixed,14.5,Male,3.1,hyperactivity,increased thirst,vomiting,vomiting,354 days,No,No,No,Yes,Yes,No,No,No,No,39.0°C,221,Hyperthyroidism
Cat,Oriental,9.0,Female,5.7,blood in urine,crying while urinating,,,10 days,No,No,No,No,No,No,No,No,No,38.6°C,174,Feline Lower Urinary Tract Disease
Cat,Ragdoll,11.8,Male,5.5,lethargy,,coughing,,109 days,No,No,No,No,No,Yes,Yes,No,No,38.6°C,135,Asthma
Cat,Ragdoll,11.3,Male,7.7,abdominal pain,dehydration,fever,,4 days,No,No,Yes,Yes,Yes,No,No,No,No,39.6°C,175,Gastroenteritis
Cat,Russian Blue,4.2,Female,5.8,lethargy,rapid breathing,labored breathing,,168 days,Yes,No,Yes,Yes,No,Yes,Yes,No,No,38.2°C,157,Asthma
Cat,Sphynx,12.5,Male,3.2,increased urination,bad breath,,increased thirst,71 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,38.1°C,138,Chronic Kidney Disease
Cat,Persian,9.3,Female,5.3,itching,,itching,,30 days,No,No,No,No,No,No,No,No,Yes,38.4°C,152,Skin Allergies
Cat,Russian Blue,14.4,Female,5.1,fever,appetite loss,,,5 days,Yes,Yes,No,No,No,Yes,No,No,No,40.2°C,158,Upper Respiratory Infection
Cat,Bengal,16.9,Female,3.1,increased urination,vomiting,bad breath,,42 days,No,No,Yes,Yes,No,No,No,Yes,No,38.6°C,144,Chronic Kidney Disease
Cat,Domestic Shorthair,5.1,Female,4.2,licking genitals,,,,7 days,No,No,Yes,No,No,No,No,No,No,38.8°C,128,Feline Lower Urinary Tract Disease
Cat,Sphynx,14.6,Male,3.7,pawing at mouth,weight loss,,,207 days,No,No,No,Yes,No,No,No,No,No,38.2°C,148,Dental Disease
Cat,Ragdoll,4.7,Female,8.2,weight loss,poor appetite,,,331 days,Yes,Yes,Yes,No,No,No,No,No,No,39.9°C,174,Feline Leukemia Virus
Cat,British Shorthair,14.5,Male,6.1,pawing at mouth,appetite loss,,,183 days,Yes,No,Yes,No,No,No,No,No,No,38.1°C,140,Dental Disease
Cat,Oriental,3.7,Male,3.9,lethargy,,,,201 days,Yes,No,Yes,No,No,No,Yes,No,No,39.5°C,186,Feline Leukemia Virus
Cat,Siamese,0.4,Female,4.1,high fever,,appetite loss,lethargy,4 days,No,Yes,Yes,Yes,Yes,No,No,No,No,40.7°C,198,Panleukopenia
Cat,Siamese,12.0,Male,4.3,abdominal pain,,lethargy,lethargy,4 days,No,No,No,Yes,Yes,No,No,No,No,38.8°C,165,Gastroenteritis
Cat,Siamese,3.8,Female,4.1,eye discharge,,lethargy,,12 days,Yes,Yes,Yes,No,No,No,No,No,No,40.1°C,135,Upper Respiratory Infection
Cat,Ragdoll,9.1,Female,8.0,lethargy,rapid breathing,,,238 days,No,No,No,No,No,Yes,Yes,No,No,38.0°C,162,Asthma
Cat,Mixed,12.1,Female,6.1,eye discharge,appetite loss,,nasal discharge,7 days,Yes,Yes,Yes,No,No,No,Yes,No,No,39.8°C,171,Upper Respiratory Infection
Cat,Oriental,6.9,Male,5.9,lethargy,poor appetite,,,267 days,No,No,Yes,No,Yes,No,No,No,No,39.6°C,141,Feline Leukemia Virus
Cat,Siamese,14.6,Male,4.0,weight loss,bad breath,,,49 days,No,No,Yes,No,No,No,No,No,No,38.7°C,133,Chronic Kidney Disease
Cat,Birman,10.4,Female,6.2,difficulty eating,weight loss,,,170 days,Yes,No,Yes,No,No,No,No,No,No,38.8°C,198,Dental Disease
Cat,Bengal,13.6,Female,4.8,increased appetite,increased thirst,,,258 days,No,No,No,No,Yes,No,No,No,No,38.9°C,224,Hyperthyroidism
Cat,Domestic Shorthair,12.0,Male,4.8,fever,coughing,coughing,,8 days,Yes,Yes,Yes,No,No,No,Yes,No,No,39.9°C,141,Upper Respiratory Infection
Cat,Bengal,13.5,Male,5.1,sneezing,coughing,eye discharge,,14 days,Yes,Yes,Yes,No,No,Yes,No,No,No,39.8°C,149,Upper Respiratory Infection
Cat,Mixed,7.3,Female,4.3,weight loss,poor coat,,,330 days,No,No,No,No,No,No,No,No,No,38.0°C,143,Diabetes Mellitus
Cat,Mixed,11.0,Female,4.1,fever,appetite loss,,,14 days,Yes,Yes,Yes,No,No,No,No,No,No,39.7°C,164,Upper Respiratory Infection
Cat,Russian Blue,5.8,Male,5.8,coughing,rapid breathing,coughing,,51 days,No,No,No,Yes,No,Yes,Yes,No,No,38.8°C,144,Asthma
Cat,Bengal,5.8,Male,5.9,blood in urine,lethargy,,,14 days,No,No,No,Yes,Yes,No,No,No,No,38.6°C,157,Feline Lower Urinary Tract Disease
Cat,Russian Blue,8.9,Male,3.7,nasal discharge,appetite loss,fever,coughing,9 days,Yes,No,No,Yes,No,Yes,No,No,No,39.5°C,127,Upper Respiratory Infection
Cat,Mixed,9.8,Female,6.5,itching,excessive grooming,hair loss,excessive grooming,161 days,No,No,No,No,No,No,No,No,Yes,38.3°C,168,Skin Allergies
Cat,Persian,1.7,Female,5.3,eye discharge,lethargy,lethargy,,3 days,Yes,Yes,No,No,No,Yes,No,No,Yes,40.5°C,169,Upper Respiratory Infection
Cat,Scottish Fold,10.0,Male,5.5,diarrhea,fever,diarrhea,,2 days,No,No,Yes,Yes,Yes,No,Yes,No,No,39.4°C,157,Gastroenteritis
Cat,Ragdoll,14.8,Female,9.5,eye discharge,lethargy,,,6 days,Yes,Yes,No,No,No,No,No,No,No,40.4°C,172,Upper Respiratory Infection
Cat,Sphynx,5.8,Female,5.7,poor appetite,,,,40 days,No,No,Yes,Yes,Yes,No,No,No,No,38.1°C,152,Inflammatory Bowel Disease
Cat,Birman,5.0,Female,4.7,labored breathing,,,wheezing,47 days,No,No,Yes,No,No,Yes,Yes,No,No,38.6°C,128,Asthma
Cat,American Shorthair,5.5,Female,4.0,vomiting,fever,diarrhea,,6 days,No,No,No,Yes,No,No,No,No,No,39.0°C,139,Gastroenteritis
Cat,Scottish Fold,4.2,Male,5.2,lethargy,,,rapid breathing,273 days,No,No,No,No,No,Yes,Yes,No,No,38.6°C,161,Asthma
Cat,Maine Coon,15.9,Male,3.5,increased thirst,bad breath,,,39 days,No,No,Yes,No,No,No,No,No,No,38.5°C,182,Chronic Kidney Disease
Cat,Abyssinian,5.3,Female,4.8,frequent urination,,,,8 days,No,No,Yes,Yes,No,No,No,No,No,38.5°C,171,Feline Lower Urinary Tract Disease
Cat,Russian Blue,3.3,Female,5.1,fever,lethargy,fever,,8 days,Yes,Yes,Yes,No,No,No,No,No,No,39.9°C,179,Upper Respiratory Infection
Cat,Oriental,9.4,Female,3.4,increased appetite,,weight loss,poor coat,349 days,No,No,No,No,No,No,No,No,No,38.0°C,192,Diabetes Mellitus
Cat,British Shorthair,6.8,Male,5.5,blood in urine,urinating outside box,,,14 days,No,No,No,No,No,No,No,No,No,38.3°C,126,Feline Lower Urinary Tract Disease
Cat,Siamese,19.1,Female,3.2,increased urination,vomiting,,vomiting,144 days,No,No,Yes,Yes,No,No,No,No,No,38.3°C,140,Chronic Kidney Disease
Cat,Russian Blue,12.3,Female,3.8,increased urination,poor coat,increased appetite,,50 days,No,No,No,Yes,Yes,No,No,No,No,38.0°C,122,Diabetes Mellitus
Cat,Russian Blue,13.4,Female,7.0,coughing,,open-mouth breathing,,79 days,No,No,No,No,No,Yes,Yes,No,No,38.8°C,183,Asthma
Cat,Mixed,14.9,Female,4.4,eye discharge,coughing,,sneezing,13 days,Yes,Yes,Yes,No,Yes,No,No,No,No,40.1°C,136,Upper Respiratory Infection
Cat,Mixed,8.9,Male,3.5,skin lesions,excessive grooming,hair loss,,99 days,No,No,No,No,No,No,No,No,Yes,38.2°C,130,Skin Allergies
Cat,Mixed,9.8,Male,6.7,itching,,,,76 days,No,No,No,No,No,No,No,No,Yes,38.7°C,199,Skin Allergies
Cat,American Shorthair,9.5,Female,4.6,sneezing,,,sneezing,5 days,Yes,No,Yes,No,No,Yes,Yes,No,No,40.0°C,145,Upper Respiratory Infection
Cat,Bengal,6.7,Male,5.8,chronic vomiting,gas,,,80 days,No,No,Yes,Yes,Yes,No,No,No,No,38.0°C,170,Inflammatory Bowel Disease
Cat,American Shorthair,6.4,Female,4.8,licking genitals,,,,2 days,No,No,Yes,No,No,No,No,No,No,39.0°C,130,Feline Lower Urinary Tract Disease
Cat,Mixed,2.1,Female,5.3,weight loss,gas,chronic vomiting,,111 days,No,No,Yes,Yes,Yes,No,No,No,No,37.8°C,165,Inflammatory Bowel Disease
Cat,Mixed,11.2,Female,5.2,lethargy,poor appetite,,,128 days,No,Yes,Yes,Yes,No,No,No,Yes,No,38.4°C,142,Chronic Kidney Disease
Cat,Maine Coon,1.6,Male,6.1,abdominal pain,,,,7 days,No,No,Yes,Yes,Yes,No,No,No,No,38.6°C,133,Gastroenteritis
Cat,Abyssinian,9.2,Female,3.3,fever,lethargy,,lethargy,5 days,Yes,Yes,No,No,No,No,No,No,No,39.6°C,192,Upper Respiratory Infection
Cat,Siamese,7.3,Male,3.6,labored breathing,open-mouth breathing,lethargy,,287 days,No,No,No,No,No,Yes,Yes,No,No,38.5°C,151,Asthma
Cat,Bengal,11.1,Male,4.8,increased appetite,diarrhea,,,196 days,No,No,No,No,No,No,No,No,No,38.5°C,202,Hyperthyroidism
Cat,Bengal,12.4,Male,6.4,drooling,bleeding gums,,difficulty eating,335 days,No,No,Yes,No,No,No,No,No,No,38.7°C,158,Dental Disease
Cat,Maine Coon,0.1,Female,8.0,vomiting,dehydration,,,3 days,No,No,Yes,Yes,Yes,No,No,No,No,41.4°C,187,Panleukopenia
Cat,Abyssinian,5.7,Female,3.8,sneezing,appetite loss,,,12 days,Yes,Yes,Yes,No,No,No,Yes,No,No,39.6°C,128,Upper Respiratory Infection
Cat,Siamese,14.1,Male,3.6,eye discharge,lethargy,,,9 days,Yes,Yes,No,No,No,No,No,No,No,40.4°C,153,Upper Respiratory Infection
Cat,Persian,1.1,Male,5.7,vomiting,,diarrhea,diarrhea,5 days,No,No,Yes,Yes,Yes,No,Yes,No,No,38.6°C,145,Gastroenteritis
Cat,Ragdoll,6.2,Male,5.2,frequent urination,crying while urinating,,,2 days,No,No,Yes,No,No,No,No,No,No,38.6°C,153,Feline Lower Urinary Tract Disease
Cat,Russian Blue,12.9,Female,4.3,lethargy,,,,57 days,No,No,Yes,Yes,No,No,No,No,No,38.0°C,126,Chronic Kidney Disease
Cat,Ragdoll,3.0,Female,4.6,blood in urine,crying while urinating,,,13 days,No,No,No,Yes,No,No,No,No,No,38.5°C,198,Feline Lower Urinary Tract Disease
Cat,Persian,9.4,Male,6.6,sneezing,lethargy,nasal discharge,,8 days,Yes,Yes,Yes,No,No,No,Yes,No,No,39.8°C,153,Upper Respiratory Infection
Cat,Mixed,9.2,Male,4.8,weight loss,poor coat,,,180 days,No,No,No,Yes,Yes,No,Yes,No,No,38.9°C,204,Hyperthyroidism
Cat,Bengal,12.5,Female,5.2,sneezing,lethargy,lethargy,,7 days,Yes,Yes,No,No,No,Yes,No,No,No,39.9°C,182,Upper Respiratory Infection
Cat,Birman,6.4,Male,3.7,pawing at mouth,appetite loss,drooling,,306 days,No,No,Yes,No,No,No,No,No,No,38.6°C,183,Dental Disease
Cat,Sphynx,11.6,Female,3.6,diarrhea,poor coat,poor appetite,,72 days,No,No,No,No,Yes,No,No,No,No,38.4°C,146,Inflammatory Bowel Disease
Cat,Sphynx,12.9,Male,6.7,bad breath,bleeding gums,,appetite loss,114 days,No,No,No,No,No,No,No,No,No,38.7°C,148,Dental Disease
Cat,Birman,7.2,Female,6.1,licking genitals,,lethargy,,2 days,No,No,No,No,No,No,No,No,No,38.5°C,132,Feline Lower Urinary Tract Disease
Cat,Ragdoll,1.2,Male,5.8,coughing,,,,186 days,No,Yes,No,No,No,Yes,Yes,No,No,38.5°C,182,Asthma
Cat,Bengal,5.9,Female,4.2,lethargy,rapid breathing,,,182 days,No,No,No,No,No,Yes,Yes,No,No,38.2°C,200,Asthma
Cat,Bengal,9.1,Female,4.6,itching,scabs,scabs,,171 days,No,Yes,No,No,No,No,No,No,Yes,38.6°C,169,Skin Allergies
Cat,Scottish Fold,6.0,Male,3.9,difficulty eating,appetite loss,bad breath,,199 days,No,No,No,Yes,No,No,No,No,No,38.1°C,168,Dental Disease
Cat,Maine Coon,5.2,Male,8.3,nasal discharge,appetite loss,sneezing,,5 days,Yes,No,No,Yes,No,No,No,No,No,39.9°C,189,Upper Respiratory Infection
Cat,Bengal,4.3,Male,5.1,sneezing,,lethargy,,9 days,Yes,Yes,No,No,Yes,Yes,Yes,No,No,40.0°C,191,Upper Respiratory Infection
Cat,Siamese,0.9,Male,2.9,severe diarrhea,,,,2 days,No,No,Yes,Yes,Yes,No,No,No,No,40.4°C,210,Panleukopenia
Cat,Ragdoll,8.7,Female,5.5,bad breath,,,,64 days,No,No,Yes,No,No,No,No,No,No,38.3°C,175,Dental Disease
Cat,Abyssinian,0.6,Female,4.7,fever,coughing,nasal discharge,,11 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.6°C,130,Upper Respiratory Infection
Cat,Oriental,9.7,Male,3.5,weight loss,poor coat,,,113 days,No,No,Yes,Yes,Yes,No,No,No,No,38.4°C,193,Inflammatory Bowel Disease
Cat,Abyssinian,10.4,Male,5.0,sneezing,,,,7 days,Yes,Yes,No,No,No,Yes,No,No,No,40.2°C,155,Upper Respiratory Infection
Cat,Sphynx,1.2,Male,5.7,lethargy,,weakness,,4 days,No,No,Yes,Yes,Yes,No,No,No,No,40.5°C,236,Panleukopenia
Cat,Bengal,3.2,Female,4.7,licking genitals,crying while urinating,,,3 days,No,No,No,Yes,No,No,No,No,No,38.8°C,155,Feline Lower Urinary Tract Disease
Cat,Sphynx,8.4,Male,5.3,increased appetite,weakness,,,101 days,No,No,No,Yes,No,No,No,No,No,38.7°C,174,Diabetes Mellitus
Cat,Mixed,0.6,Male,4.6,abdominal pain,,,,5 days,No,No,Yes,Yes,Yes,No,No,No,No,39.6°C,146,Gastroenteritis
Cat,Persian,6.8,Male,5.1,weight loss,lethargy,,increased urination,153 days,No,No,No,No,No,No,No,No,No,38.2°C,147,Diabetes Mellitus
Cat,Domestic Shorthair,5.2,Male,4.5,lethargy,appetite loss,,,2 days,No,No,No,Yes,Yes,No,No,No,No,39.0°C,129,Gastroenteritis
Cat,Birman,2.5,Female,4.4,frequent urination,crying while urinating,blood in urine,,9 days,No,No,No,No,No,No,Yes,No,No,38.3°C,175,Feline Lower Urinary Tract Disease
Cat,Mixed,2.9,Female,4.0,weight loss,poor coat,,,179 days,No,No,No,Yes,No,No,No,No,No,37.9°C,190,Inflammatory Bowel Disease
Cat,Siamese,6.9,Female,3.8,eye discharge,coughing,,,11 days,Yes,No,No,No,No,No,No,No,No,40.0°C,174,Upper Respiratory Infection
Cat,Ragdoll,9.8,Male,6.0,itching,red skin,scratching,,132 days,No,No,No,No,No,No,No,No,Yes,38.7°C,184,Skin Allergies
Cat,Persian,7.2,Female,2.7,increased urination,,weight loss,,172 days,No,No,No,No,No,No,Yes,No,No,38.1°C,187,Diabetes Mellitus
Cat,Russian Blue,9.6,Female,6.1,pawing at mouth,bleeding gums,,,237 days,No,No,Yes,No,No,No,No,No,No,38.2°C,197,Dental Disease
Cat,Sphynx,3.9,Female,3.6,itching,,scabs,,165 days,No,No,No,No,No,No,No,No,Yes,38.4°C,179,Skin Allergies
Cat,Ragdoll,8.7,Female,6.6,increased urination,vomiting,,,149 days,No,No,No,Yes,No,No,No,Yes,No,38.6°C,128,Chronic Kidney Disease
Cat,Ragdoll,19.0,Female,5.1,increased urination,bad breath,,,85 days,No,No,Yes,Yes,No,No,No,No,No,38.3°C,176,Chronic Kidney Disease
Cat,Sphynx,5.7,Male,5.4,weight loss,fever,infections,,285 days,No,No,Yes,No,Yes,No,No,No,Yes,38.5°C,137,Feline Leukemia Virus
Cat,American Shorthair,5.3,Male,5.6,abdominal pain,dehydration,,,7 days,Yes,No,No,Yes,No,No,No,No,No,39.6°C,163,Gastroenteritis
Cat,Abyssinian,9.6,Female,3.6,frequent urination,urinating outside box,,,13 days,No,No,No,No,No,No,No,No,No,38.6°C,171,Feline Lower Urinary Tract Disease
Cat,American Shorthair,12.1,Female,4.5,nasal discharge,coughing,nasal discharge,,5 days,Yes,Yes,Yes,No,No,No,No,No,No,40.4°C,128,Upper Respiratory Infection
Cat,Mixed,4.0,Male,5.5,infections,poor appetite,weight loss,,309 days,No,No,No,No,No,No,No,No,No,38.7°C,161,Feline Leukemia Virus
Cat,Domestic Shorthair,1.9,Male,3.9,blood in urine,urinating outside box,lethargy,urinating outside box,4 days,No,No,Yes,Yes,No,No,No,No,No,38.8°C,125,Feline Lower Urinary Tract Disease
Cat,British Shorthair,1.6,Female,5.9,vomiting,dehydration,lethargy,lethargy,1 days,No,No,No,Yes,Yes,No,No,No,No,39.5°C,185,Gastroenteritis
Cat,American Shorthair,10.4,Male,3.8,nasal discharge,lethargy,,,7 days,Yes,Yes,Yes,No,No,No,No,No,No,40.2°C,124,Upper Respiratory Infection
Cat,American Shorthair,2.4,Male,6.0,sneezing,,,,6 days,Yes,Yes,Yes,No,No,No,No,No,No,40.0°C,124,Upper Respiratory Infection
Cat,Sphynx,11.5,Male,3.2,weight loss,poor appetite,,bad breath,112 days,No,No,Yes,No,No,No,No,No,No,38.6°C,141,Chronic Kidney Disease
Cat,Sphynx,7.8,Male,6.0,wheezing,,labored breathing,open-mouth breathing,95 days,No,No,No,No,No,Yes,Yes,No,No,38.4°C,147,Asthma
Cat,Russian Blue,6.6,Female,6.8,diarrhea,fever,lethargy,dehydration,5 days,No,No,Yes,Yes,Yes,No,No,No,No,39.0°C,179,Gastroenteritis
Cat,American Shorthair,11.1,Male,5.7,hair loss,scabs,scabs,,162 days,No,No,No,Yes,No,No,No,No,No,38.6°C,155,Skin Allergies
Cat,Mixed,6.1,Female,5.2,weight loss,poor coat,,increased urination,303 days,No,No,No,No,No,No,No,No,No,38.5°C,130,Diabetes Mellitus
Cat,Ragdoll,7.3,Female,4.7,weight loss,,,,71 days,No,No,Yes,Yes,No,No,No,No,No,38.8°C,135,Chronic Kidney Disease
Cat,Persian,3.8,Male,6.1,drooling,weight loss,drooling,,303 days,No,No,Yes,No,No,No,No,No,No,38.8°C,122,Dental Disease
Cat,American Shorthair,11.9,Male,3.9,scratching,scabs,,,113 days,No,No,No,No,No,No,No,No,Yes,38.6°C,149,Skin Allergies
Cat,Mixed,9.7,Female,4.7,drooling,,,,31 days,No,Yes,Yes,No,No,No,No,No,No,38.1°C,132,Dental Disease
Cat,Scottish Fold,6.3,Male,5.0,frequent urination,,lethargy,frequent urination,5 days,No,No,Yes,No,No,No,No,No,No,38.6°C,139,Feline Lower Urinary Tract Disease
Cat,Domestic Shorthair,1.5,Female,6.3,high fever,weakness,,,4 days,No,No,Yes,Yes,Yes,No,No,No,No,40.5°C,236,Panleukopenia
Cat,American Shorthair,8.8,Male,3.4,eye discharge,appetite loss,appetite loss,,14 days,Yes,Yes,No,No,No,Yes,No,No,Yes,40.4°C,173,Upper Respiratory Infection
Cat,Abyssinian,11.2,Female,3.0,sneezing,,,,8 days,Yes,Yes,Yes,No,No,Yes,No,No,No,40.2°C,133,Upper Respiratory Infection
Cat,Persian,3.0,Female,5.3,blood in urine,crying while urinating,frequent urination,,13 days,No,No,No,Yes,No,No,No,No,No,38.7°C,195,Feline Lower Urinary Tract Disease
Cat,American Shorthair,10.5,Female,4.7,lethargy,,increased thirst,lethargy,78 days,No,No,Yes,No,No,No,No,No,No,37.8°C,125,Chronic Kidney Disease
Cat,Russian Blue,3.3,Female,4.5,chronic vomiting,gas,,,135 days,No,No,Yes,Yes,Yes,No,No,No,No,38.5°C,176,Inflammatory Bowel Disease
Cat,Domestic Shorthair,2.9,Male,4.9,blood in urine,urinating outside box,,,8 days,No,No,No,Yes,No,No,No,No,No,38.6°C,174,Feline Lower Urinary Tract Disease
Cat,Bengal,5.1,Male,4.7,infections,,enlarged lymph nodes,,259 days,Yes,No,Yes,Yes,No,No,No,No,No,39.5°C,138,Feline Leukemia Virus
Cat,Birman,7.9,Female,5.3,eye discharge,coughing,,sneezing,6 days,Yes,Yes,Yes,No,No,No,No,No,No,40.1°C,187,Upper Respiratory Infection
Cat,Persian,11.6,Female,5.7,eye discharge,,,,7 days,Yes,Yes,No,No,No,No,No,No,No,39.6°C,180,Upper Respiratory Infection
Cat,Mixed,3.9,Male,5.9,blood in urine,urinating outside box,,straining to urinate,13 days,No,No,Yes,No,Yes,No,No,No,No,39.2°C,190,Feline Lower Urinary Tract Disease
Cat,Maine Coon,15.4,Male,4.2,hyperactivity,,,,203 days,No,No,No,Yes,No,No,Yes,No,No,39.2°C,240,Hyperthyroidism
Cat,Persian,5.8,Female,5.3,weight loss,poor appetite,lethargy,,229 days,Yes,No,Yes,No,Yes,No,No,No,No,38.7°C,132,Feline Leukemia Virus
Cat,American Shorthair,10.3,Male,4.3,wheezing,exercise intolerance,,wheezing,70 days,No,No,No,No,Yes,Yes,Yes,No,No,38.6°C,175,Asthma
Cat,Siamese,5.9,Male,2.9,diarrhea,appetite loss,,,2 days,No,No,Yes,Yes,Yes,No,No,No,No,39.7°C,195,Gastroenteritis
Cat,Mixed,10.7,Female,4.4,scratching,red skin,,skin lesions,85 days,No,No,No,No,No,No,No,No,Yes,38.1°C,194,Skin Allergies
Cat,Birman,13.5,Male,4.4,sneezing,lethargy,coughing,,5 days,Yes,Yes,No,No,No,Yes,No,No,No,40.0°C,130,Upper Respiratory Infection
Cat,Scottish Fold,10.4,Male,3.3,increased urination,,,increased urination,86 days,No,No,Yes,Yes,No,No,Yes,No,No,38.4°C,163,Chronic Kidney Disease
Cat,Oriental,11.7,Male,6.0,sneezing,,,,13 days,Yes,Yes,Yes,No,No,No,No,No,No,40.2°C,197,Upper Respiratory Infection
Cat,Maine Coon,4.8,Female,8.1,eye discharge,lethargy,,,5 days,Yes,Yes,Yes,No,No,Yes,Yes,No,No,40.3°C,160,Upper Respiratory Infection
Cat,Persian,13.1,Female,2.6,weight loss,poor appetite,,,122 days,No,No,Yes,Yes,Yes,No,No,No,No,38.0°C,126,Chronic Kidney Disease
Cat,Domestic Shorthair,17.2,Male,3.3,increased thirst,vomiting,,,172 days,No,No,No,No,No,No,No,No,No,37.6°C,126,Chronic Kidney Disease
Cat,Domestic Shorthair,3.4,Female,5.5,itching,,scabs,,154 days,No,No,No,No,No,No,No,No,Yes,38.1°C,128,Skin Allergies
Cat,Sphynx,10.9,Female,5.2,eye discharge,coughing,,appetite loss,14 days,Yes,Yes,No,No,No,No,No,No,Yes,39.9°C,200,Upper Respiratory Infection
Cat,Abyssinian,16.8,Female,3.4,lethargy,bad breath,weight loss,,77 days,No,No,No,Yes,Yes,No,No,No,No,38.2°C,187,Chronic Kidney Disease
Cat,Mixed,12.9,Male,4.4,increased urination,weakness,,increased appetite,342 days,No,No,No,Yes,No,No,No,No,No,38.0°C,165,Diabetes Mellitus
Cat,Scottish Fold,7.3,Female,5.7,diarrhea,dehydration,,,4 days,No,No,No,Yes,Yes,No,No,No,No,38.8°C,171,Gastroenteritis
Cat,Ragdoll,8.9,Male,8.8,straining to urinate,lethargy,licking genitals,,7 days,No,No,No,No,No,No,No,No,No,38.5°C,123,Feline Lower Urinary Tract Disease
Cat,Persian,5.7,Male,4.8,coughing,,,,362 days,No,No,No,No,No,Yes,Yes,No,No,38.3°C,198,Asthma
Cat,Maine Coon,3.9,Male,7.9,drooling,,,,301 days,No,No,Yes,No,No,No,No,No,No,38.4°C,129,Dental Disease
Cat,British Shorthair,4.4,Female,3.5,vomiting,fever,,,4 days,No,Yes,Yes,Yes,Yes,No,No,No,No,39.5°C,186,Gastroenteritis
Cat,Siamese,6.3,Male,5.1,diarrhea,lethargy,,,129 days,No,No,No,Yes,Yes,No,No,No,No,38.8°C,147,Inflammatory Bowel Disease
Cat,Abyssinian,1.1,Female,3.9,lethargy,appetite loss,lethargy,,5 days,No,No,Yes,Yes,Yes,No,Yes,No,No,38.5°C,187,Gastroenteritis
Cat,Oriental,5.8,Male,4.5,wheezing,rapid breathing,,,66 days,Yes,No,No,No,No,Yes,Yes,No,No,38.6°C,156,Asthma
Cat,Mixed,12.4,Male,3.6,increased urination,poor coat,lethargy,increased appetite,349 days,No,No,No,No,No,No,No,No,No,38.8°C,178,Diabetes Mellitus
Cat,Scottish Fold,2.3,Female,5.9,nasal discharge,,,,11 days,Yes,Yes,No,No,No,No,Yes,No,No,39.7°C,138,Upper Respiratory Infection
Cat,Sphynx,4.9,Female,5.8,weight loss,poor appetite,,,294 days,No,No,Yes,No,No,No,No,No,No,38.8°C,197,Feline Leukemia Virus
Cat,Russian Blue,10.8,Male,5.2,itching,red skin,hair loss,red skin,44 days,No,No,No,No,Yes,No,No,No,Yes,38.4°C,138,Skin Allergies
Cat,British Shorthair,15.8,Male,3.6,vomiting,diarrhea,,,278 days,No,No,No,No,No,No,No,No,No,39.3°C,229,Hyperthyroidism
Cat,Scottish Fold,0.4,Male,5.7,lethargy,dehydration,appetite loss,high fever,3 days,Yes,No,Yes,Yes,Yes,No,No,No,No,40.6°C,192,Panleukopenia
Cat,Russian Blue,12.3,Male,4.9,sneezing,,,,12 days,Yes,Yes,No,Yes,No,Yes,No,No,No,39.7°C,194,Upper Respiratory Infection
Cat,Russian Blue,9.8,Female,3.6,labored breathing,,lethargy,,147 days,No,No,No,No,No,Yes,Yes,No,No,38.0°C,131,Asthma
Cat,Bengal,7.5,Female,6.9,weight loss,poor appetite,,poor appetite,333 days,Yes,No,Yes,No,Yes,Yes,No,No,No,38.8°C,171,Feline Leukemia Virus
Cat,Scottish Fold,7.1,Male,4.5,nasal discharge,coughing,sneezing,,6 days,Yes,Yes,Yes,No,No,No,No,No,No,39.7°C,129,Upper Respiratory Infection
Cat,Scottish Fold,4.0,Female,5.5,scratching,red skin,,hair loss,144 days,Yes,No,No,No,No,No,No,No,Yes,38.4°C,138,Skin Allergies
Cat,Birman,8.2,Female,3.8,itching,scabs,,,164 days,No,No,No,No,No,No,No,No,Yes,38.6°C,197,Skin Allergies
Cat,Oriental,16.7,Female,3.6,increased appetite,increased thirst,,,223 days,No,No,No,Yes,No,No,No,No,No,38.9°C,239,Hyperthyroidism
Cat,Bengal,10.8,Female,5.1,wheezing,exercise intolerance,wheezing,coughing,189 days,No,No,Yes,No,No,Yes,Yes,No,No,38.3°C,166,Asthma
Cat,Abyssinian,14.1,Female,4.3,nasal discharge,appetite loss,nasal discharge,,12 days,Yes,Yes,No,No,No,No,No,No,No,40.1°C,189,Upper Respiratory Infection
Cat,Scottish Fold,1.4,Male,4.2,lethargy,appetite loss,severe diarrhea,,6 days,No,No,Yes,Yes,No,No,No,No,No,40.9°C,215,Panleukopenia
Cat,Russian Blue,3.6,Male,4.9,licking genitals,crying while urinating,licking genitals,,4 days,No,No,No,No,No,No,No,No,No,38.6°C,129,Feline Lower Urinary Tract Disease
Cat,Siamese,7.9,Female,4.0,wheezing,exercise intolerance,rapid breathing,,81 days,No,No,No,No,No,Yes,Yes,No,No,38.3°C,143,Asthma
